pages,trials,time
2,500,2.00
4,500,4.00
6,500,2.67
8,500,1.75
10,500,5.00
12,500,3.50
14,500,3.86
16,500,7.12
18,500,7.22
20,500,5.00
22,500,6.91
24,500,8.08
26,500,8.38
28,500,7.79
30,500,7.87
32,500,8.06
34,500,8.59
36,500,7.61
38,500,7.79
40,500,7.50
42,500,8.48
44,500,8.59
46,500,7.35
48,500,5.08
50,500,4.20
52,500,10.08
54,500,8.56
56,500,9.21
58,500,8.62
60,500,10.50
62,500,8.42
64,500,6.44
66,500,8.09
68,500,8.65
70,500,9.00
72,500,8.44
74,500,8.97
76,500,8.74
78,500,6.49
80,500,7.95
82,500,8.15
84,500,8.14
86,500,8.14
88,500,5.25
90,500,9.00
92,500,10.85
94,500,8.89
96,500,9.73
98,500,10.45
100,500,8.86
102,500,8.88
104,500,8.44
106,500,8.15
108,500,7.54
110,500,8.35
112,500,9.30
114,500,9.21
116,500,8.74
118,500,8.37
120,500,9.18
122,500,8.64
124,500,8.39
126,500,6.81
128,500,8.61
130,500,8.97
132,500,9.26
134,500,8.52
136,500,7.97
138,500,8.84
140,500,8.26
142,500,9.11
144,500,8.56
146,500,8.75
148,500,8.69
150,500,8.52
152,500,8.95
154,500,8.79
156,500,8.86
158,500,8.82
160,500,8.69
162,500,8.53
164,500,8.61
166,500,8.60
168,500,9.08
170,500,5.87
172,500,8.52
174,500,8.74
176,500,8.03
178,500,9.03
180,500,8.62
182,500,9.41
184,500,8.62
186,500,8.83
188,500,9.49
190,500,8.54
192,500,9.08
194,500,8.58
196,500,9.80
198,500,8.95
200,500,8.58
